Survey_area_ObjID;Richtung_1;Richtung_2
1;14025_265;20069_248
1;14026_263;20070_207
1;15010_264;20071_208
2;14025_265;20070_207
2;14026_263;20071_208
2;15010_264;20072_204
3;14025_265;20071_208
3;14026_263;20072_204
3;15010_264;20073_206
4;2005_198;2016_164
4;2004_199;3030_159
5;2016_164;3026_197
5;3030_159;2005_198
6;2008_132;2024_137
6;2010_140;2025_138
7;2012_141;2031_149
7;2013_152;2032_148
8;3025_196;2016_164
8;3026_197;3030_159
9;01028_260;04060_295
9;01030_265;04062_263
10;01028_260;04061_294
10;01030_265;04063_262
11;01029_264;04059_296
11;01031_266;04061_294
12;01029_264;04060_295
12;01031_266;04062_263
13;01029_264;04061_294
13;01031_266;04063_262
14;01028_260;04059_296
14;01029_264;04060_295
14;01030_265;04061_294
14;01031_266;04062_263
15;01028_260;04060_295
15;01029_264;04061_294
15;01030_265;04062_263
15;01031_266;04063_262
16;03022_610;04022_378
16;03024_609;04023_377
17;03022_610;04032_592
17;03025_608;04034_594
19;08010_649;08017_648
19;08012_655;08019_646
20;08009_181;08013_170
20;08011_178;08015_148
21;08009_181;08014_149
21;08011_178;08016_147
22;08008_180;08013_170
22;08009_181;08014_149
22;08010_182;08015_148
22;08011_178;08016_147
23;06022_692;06025_697
23;06023_699;06026_698
24;06061_535;14003_524
24;06060_534;14004_540
25;06062_536;14003_524
25;06060_534;14005_541
26;04008_507;14004_540
26;04009_529;14005_541
27;14004_540;14019_530
27;14005_541;14020_520
28;04007_505;14001_523
28;04009_529;14003_524
29;04007_505;14001_523
29;04008_507;14002_522
30;04009_529;14002_522
30;06060_534;14003_524
31;04007_505;14002_522
31;04009_529;14004_540
32;04005_504;14002_522
32;04007_505;14004_540
33;04008_507;14003_524
33;04009_529;14004_540
34;04004_495;14003_524
34;04003_496;14004_540
35;04006_506;14001_523
35;04008_507;14003_524
36;04006_506;14002_522
36;04008_507;14004_540
37;04004_495;14002_522
37;04005_504;14003_524
37;04006_506;14004_540
37;04007_505;14005_541
